date,time,temperature,humid,wind,direction
08-03-11,09:20,6.9,85,7.1,"95
"
08-03-11,09:25,6.9,85,2.6,"70
"
08-03-11,09:30,7.1,85,2.2,"110
"
08-03-11,09:35,6.9,85,8.4,"135
"
08-03-11,09:40,6.9,85,1.6,"260
"
08-03-11,09:45,7.2,85,7.4,"120
"
08-03-11,09:50,7.2,85,1.7,"95
"
08-03-11,09:55,7.2,85,10.3,"45
"
08-03-11,10:00,7.2,85,0.9,"125
"
08-03-11,10:05,7.2,85,0.0,"210
"
08-03-11,10:10,7.4,85,0.4,"100
"
08-03-11,10:19,7.5,85,10.1,"150
"
08-03-11,10:25,8.3,84,11.7,"125
"
08-03-11,10:30,8.6,84,9.6,"160
"
08-03-11,10:35,8.7,82,13.1,"230
"
08-03-11,10:40,8.8,82,13.1,"170
"
08-03-11,10:45,8.8,82,9.4,"200
"
08-03-11,10:50,8.8,82,10.8,"275
"
08-03-11,10:55,8.8,82,7.9,"245
"
08-03-11,11:00,8.7,82,3.1,"160
"
08-03-11,11:05,8.7,82,17.5,"255
"
08-03-11,11:10,8.7,82,11.6,"280
"
08-03-11,11:15,8.8,82,22.1,"295
"
08-03-11,11:20,9,81,21.4,"290
"
08-03-11,11:25,9.1,81,20.9,"290
"
08-03-11,11:29,9.1,81,19.5,"280
"
08-03-11,11:35,9.1,81,22.1,"280
"
08-03-11,11:40,9.2,81,15.2,"275
"
08-03-11,11:45,9.2,81,16.6,"260
"
08-03-11,11:50,9.2,81,17.3,"275
"
08-03-11,11:55,9.1,81,23.4,"285
"
08-03-11,12:00,9.1,81,22.5,"280
"
08-03-11,12:05,9.2,81,14.3,"285
"
08-03-11,12:10,9.2,81,17.9,"290
"
08-03-11,12:15,9.2,81,13.8,"265
"
08-03-11,12:19,9.3,80,15.9,"230
"
08-03-11,12:25,9.5,80,20.4,"215
"
08-03-11,12:30,9.5,79,15.9,"270
"
08-03-11,12:35,9.5,79,16.6,"280
"
