date,time,temperature,humid,wind,direction
18-07-15,00:00,13.1,84,16.9,"275
"
18-07-15,00:05,13.2,84,15.3,"270
"
18-07-15,00:10,13.2,84,12.0,"295
"
18-07-15,00:15,13.3,84,22.4,"290
"
18-07-15,00:20,13.3,84,22.2,"260
"
18-07-15,00:25,13.3,84,19.6,"255
"
18-07-15,00:30,13.3,84,19.2,"250
"
18-07-15,00:34,13.3,84,29.9,"285
"
18-07-15,00:39,13.4,84,17.5,"290
"
18-07-15,00:45,13.3,84,18.3,"255
"
18-07-15,00:50,13.3,84,20.3,"285
"
18-07-15,00:55,13.2,84,16.6,"275
"
18-07-15,01:00,13.2,84,16.6,"275
"
18-07-15,01:05,13.1,84,17.3,"275
"
18-07-15,01:10,13.1,84,21.2,"245
"
18-07-15,01:15,13.1,84,25.9,"260
"
18-07-15,01:20,13.2,84,18.3,"275
"
18-07-15,01:25,13.1,84,21.6,"285
"
18-07-15,01:30,13.2,84,19.0,"285
"
18-07-15,01:35,13.3,84,30.0,"275
"
18-07-15,01:40,13.3,84,32.0,"265
"
18-07-15,01:45,13.4,84,21.8,"280
"
18-07-15,01:49,13.4,84,23.3,"250
"
18-07-15,01:55,13.4,84,18.1,"220
"
18-07-15,02:00,13.4,84,18.8,"270
"
18-07-15,02:05,13.4,84,26.3,"280
"
18-07-15,02:10,13.4,84,19.2,"300
"
18-07-15,02:15,13.4,84,29.5,"230
"
18-07-15,02:20,13.4,84,21.2,"285
"
18-07-15,02:25,13.4,84,19.5,"300
"
18-07-15,02:30,13.4,84,19.0,"285
"
18-07-15,02:35,13.4,84,14.0,"250
"
18-07-15,02:40,13.4,84,9.9,"195
"
18-07-15,02:45,13.4,84,12.1,"185
"
18-07-15,02:50,13.3,84,5.1,"245
"
18-07-15,02:55,13.3,84,9.6,"285
"
18-07-15,02:59,13.3,85,17.2,"260
"
18-07-15,03:05,13.3,85,11.8,"165
"
18-07-15,03:10,13.3,85,19.8,"235
"
18-07-15,03:15,13.3,85,19.8,"235
"
18-07-15,03:20,13.3,85,13.0,"225
"
18-07-15,03:25,13.3,85,12.7,"275
"
18-07-15,03:30,13.2,85,16.1,"225
"
18-07-15,03:35,13.2,85,11.3,"220
"
18-07-15,03:40,13.2,85,18.8,"280
"
18-07-15,03:45,13.3,85,10.7,"260
"
18-07-15,03:50,13.3,85,16.6,"230
"
18-07-15,03:55,13.3,85,19.0,"200
"
18-07-15,04:00,13.3,85,14.4,"215
"
18-07-15,04:05,13.3,85,17.9,"190
"
18-07-15,04:09,13.4,85,15.1,"260
"
18-07-15,04:15,13.4,85,13.4,"245
"
18-07-15,04:20,13.3,85,16.5,"255
"
18-07-15,04:25,13.4,85,17.9,"265
"
18-07-15,013.30,4.3,85,15.6,"275
"
18-07-15,04:35,13.4,85,11.6,"260
"
18-07-15,04:40,13.3,84,14.3,"265
"
18-07-15,013.45,4.4,84,23.1,"230
"
18-07-15,04:50,13.4,84,15.7,"270
"
18-07-15,04:55,13.4,84,15.7,"265
"
18-07-15,05:00,13.4,84,27.0,"240
"
18-07-15,05:09,13.4,84,20.3,"270
"
18-07-15,05:15,13.4,84,19.4,"285
"
18-07-15,05:20,13.4,84,22.1,"270
"
18-07-15,05:25,13.4,84,15.5,"270
"
18-07-15,05:30,13.3,84,17.0,"255
"
18-07-15,05:35,13.3,84,20.3,"280
"
18-07-15,05:40,13.3,84,17.9,"285
"
18-07-15,05:45,13.3,84,16.5,"280
"
18-07-15,05:50,13.3,84,14.4,"210
"
18-07-15,05:55,13.3,84,15.6,"250
"
18-07-15,06:00,13.3,85,14.6,"285
"
18-07-15,06:05,13.2,85,12.5,"285
"
18-07-15,06:09,13.2,85,15.7,"275
"
18-07-15,06:15,13.1,85,15.5,"280
"
18-07-15,06:20,13.1,85,18.8,"280
"
18-07-15,06:25,13,85,17.8,"285
"
18-07-15,06:30,13,86,16.6,"285
"
18-07-15,06:35,12.9,86,19.8,"275
"
18-07-15,06:40,12.9,86,16.4,"285
"
18-07-15,06:45,12.9,86,19.5,"295
"
18-07-15,06:50,12.9,86,14.3,"270
"
